store_code,shortName,city,country,latitude,longitude
TW-PS001,CBH,Dong Nai,Viet Nam,10.9586,106.834381
TW-PS002,ATP,Ho Chi Minh,Viet Nam,10.801603,106.617807
TW-PS003,ALB,Ha Noi,Viet Nam,21.0260334,105.9001923
TW-PS004,VNCT,Ha Noi,Viet Nam,21.023202,105.8099
TW-PS005,VVT,Phu Tho,Viet Nam,21.312843,105.395491
TW-PS006,VAG,An Giang,Viet Nam,10.38405,105.43735
TW-PS007,VTDN,Ho Chi Minh,Viet Nam,10.802116,106.740808
TW-PS008,VHP,Hai Phong,Viet Nam,20.86587,106.69156
TW-PS009,VQT,Ho Chi Minh,Viet Nam,10.82937226,106.6725856
TW-PS010,VBH,Dong Nai,Viet Nam,10.957699,106.843567
TW-PS011,VCT,Can Tho,Viet Nam,10.045212,105.77979
TW-PS012,VLVV,Ho Chi Minh,Viet Nam,10.84591,106.77888
TW-PS013,ABT,Ho Chi Minh,Viet Nam,10.743607,106.61297
TW-PS016,VLM,Ho Chi Minh,Viet Nam,10.7951612,106.7174057
TW-PS017,NZ,Ho Chi Minh,Viet Nam,10.763917,106.682679
TW-PS018,CLTK,Ho Chi Minh,Viet Nam,10.761926,106.668913
TW-PS019,CBD,Binh Duong,Viet Nam,10.96456,106.667757
TW-PS022,MP,Ha Noi,Viet Nam,21.00559307,105.823713
TW-PS023,CBMT,Buon Me Thuoc,Viet Nam,12.69169,108.061717
TW-PS026,VTD,Ho Chi Minh,Viet Nam,10.850011,106.765227
TW-PS028,LCT,Can Tho,Viet Nam,10.042225,105.76701
TW-PS029,SPH,Ho Chi Minh,Viet Nam,10.733577,106.674369
TW-PS031,LPVT,Vung Tau,Viet Nam,10.36964,107.08506
TW-PS032,SPTK,Ha Noi,Viet Nam,21.042249,105.827769
TW-PS033,VRHN,Ha Noi,Viet Nam,21.003449,105.815704
TW-PS034,VTCT,Ha Noi,Viet Nam,20.995037,105.868049
TW-PS035,VBN,Bac Ninh,Viet Nam,21.179009,106.072816
TW-PS036,LMXD,Ha Noi,Viet Nam,21.065441,105.827054
TW-PS037,ETL,Ho Chi Minh,Viet Nam,10.802236,106.74871
TW-PS038,GGM,Ho Chi Minh,Viet Nam,10.828534,106.722544
TW-PS040,VBTL,Ha Noi,Viet Nam,21.052958,105.781287
TW-PS041,VDK,Ho Chi Minh,Viet Nam,10.778191,106.701964
TW-PS042,VCM,Ca Mau,Viet Nam,9.18914,105.14018
TW-PS043,VDN,Da Nang,Viet Nam,16.071541,108.23047
TW-PS044,CSM,Ho Chi Minh,Viet Nam,10.72924,106.71971
TW-PS058,KGL,Gia Lai,Viet Nam,13.978852,108.003958
TW-PS059,VNL ,Ho Chi Minh,Viet Nam,10.744276,106.733026
TW-PS060,VLA,Long An,Viet Nam,10.534122,106.411232
TW-PS061,VTDH,Ha Noi,Viet Nam,21.007222,105.795652
TW-PS062,VBT,Ha Noi,Viet Nam,21.011284,105.850118
TW-PS063,VIC,Nghe An,Viet Nam,18.671962,105.691186
TW-PS064,CTP,Ho Chi Minh,Viet Nam,10.828911,106.619681
TW-PS065,VLB ,Ha Noi,Viet Nam,21.05104,105.9168
TW-PS069,ABD,Binh Duong,Viet Nam,10.932851,106.712734
TW-PS070,CSA,Ho Chi Minh,Viet Nam,10.865966,106.73177
TW-PS071,CCL,Dong Thap,Viet Nam,10.459307,105.640124
TW-PS072,CTH,Tuy Hoa,Viet Nam,13.088789,109.310163
TW-PS073,AHD,Ha Noi,Viet Nam,20.98993012,105.7510257
TW-PS075,VDA,Binh Duong,Viet Nam,10.908265,106.741686
TW-PS080,CMAC,Ho Chi Minh,Viet Nam,10.794005,106.639164
TW-PS083,OSTW,Ho Chi Minh,Viet Nam,10.76252739,106.6953656
TW-PS084,AHP,Hai Phong,Viet Nam,20.83265216,106.6822944
